objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4,ra,dec,neighbor_id,angular_sep,num_neighbors
1237679322322764569,8.149451E+18,0.6422266,22.92557,22.2969,20.84013,20.43305,20.05888,16.04,15.273,12.517,8.978,0.8948502521398295,,,inf,0.8109575169098777,-0.3680353890134384,True,8,0.62867,2.08544,2.49252,2.86669,1.45677,1.86385,2.23802,0.40708,0.78125,0.37417,0.767,3.523,7.062,2.756,6.295,3.539,31.1539827467088,-5.19358606577797,[],[],0
1237679322322764608,8.149463E+18,1.326637,24.49779,23.3828,22.1119,22.69732,22.15313,,,,,,,,,,,True,8,1.11499,2.38589,1.80047,2.34466,1.2709,0.68548,1.22967,-0.58542,-0.04123,0.54419,,,,,,,31.2005034470233,-5.15650589568209,[],[],0
1237679322322829436,8.149467E+18,1.614936,20.75221,20.11744,19.99388,19.71067,19.85538,16.324,15.013,12.017,8.983,,,,,,,True,8,0.63477,0.75833,1.04154,0.89683,0.12356,0.40677,0.26206,0.28321,0.1385,-0.14471,1.311,4.307,7.341,2.996,6.03,3.034,31.3095326326714,-5.22567079476714,[],[],0
1237679322322829546,8.149462E+18,1.657081,20.75598,20.28998,20.20258,19.86845,19.95657,15.978,14.86,12.335,9.023,,,,,,,True,8,0.466,0.5534,0.88753,0.79941,0.0874,0.42153,0.33341,0.33413,0.24601,-0.08812,1.118,3.643,6.955,2.525,5.837,3.312,31.2846374287745,-5.13565379204544,[],[],0
1237679322322829667,8.149465E+18,0.6975873,20.85192,21.60857,20.74517,20.41138,19.67819,16.955,16.952,12.876,9.446,-0.0170287425502363,,,,inf,inf,True,8,-0.75665,0.10675,0.44054,1.17373,0.8634,1.19719,1.93038,0.33379,1.06698,0.73319,0.003,4.079,7.509,4.076,7.506,3.43,31.2277589968395,-5.17069346266875,[],[],0
1237679322322829888,8.149463E+18,0.7925165,21.76736,20.87157,21.07248,21.29474,20.98414,15.881,14.93,12.06,9.323,,,,,,,True,8,0.89579,0.69488,0.47262,0.78322,-0.20091,-0.42317,-0.11257,-0.22226,0.08834,0.3106,0.951,3.821,6.558,2.87,5.607,2.737,31.3224416916718,-5.17333748900113,[],[],0
1237679322322960501,8.149488E+18,1.29319,19.94249,19.94661,19.69868,19.69859,20.02067,16.471,15.276,12.169,8.84,,,,,,,True,8,-0.00412,0.24381,0.2439,-0.07818,0.24793,0.24802,-0.07406,9e-05,-0.32199,-0.32208,1.195,4.302,7.631,3.107,6.436,3.329,31.6349587214019,-5.13009830291346,[],[],0
1237679322323025988,8.149488E+18,0.2861587,20.66514,20.24412,19.54649,18.94724,18.57369,14.989,14.439,12.786,8.859,,,,,,,True,8,0.42102,1.11865,1.7179,2.09145,0.69763,1.29688,1.67043,0.59925,0.9728,0.37355,0.55,2.203,6.13,1.653,5.58,3.927,31.7963909023026,-5.26230783020872,[],[],0
1237679322323026398,8.149488E+18,1.575876,22.64121,21.55857,21.19961,20.80547,21.08525,16.423,15.237,12.332,8.858,,,,,,,True,8,1.08264,1.4416,1.83574,1.55596,0.35896,0.7531,0.47332,0.39414,0.11436,-0.27978,1.186,4.091,7.565,2.905,6.379,3.474,31.69800601553,-5.2037807561525,[],[],0
1237679322323091777,8.149499E+18,2.247106,21.36217,21.0018,20.8579,20.79616,20.31598,17.628,16.628,13.164,9.276,,,,,,,True,8,0.36037,0.50427,0.56601,1.04619,0.1439,0.20564,0.68582,0.06174,0.54192,0.48018,1.0,4.464,8.352,3.464,7.352,3.888,31.9336447109797,-5.26224632525222,[],[],0
1237679322323157227,8.14951E+18,1.631762,21.55654,21.40486,21.40799,21.13787,21.03492,,,,,,,,,,,True,8,0.15168,0.14855,0.41867,0.52162,-0.00313,0.26699,0.36994,0.27012,0.37307,0.10295,,,,,,,31.9938878910773,-5.21700154135001,[],[],0
1237679322323157229,8.1495E+18,1.129014,20.7823,20.68548,20.40995,20.31191,20.10049,15.722,14.807,12.53,9.425,,,,,,,True,8,0.09682,0.37235,0.47039,0.68181,0.27553,0.37357,0.58499,0.09804,0.30946,0.21142,0.915,3.192,6.297,2.277,5.382,3.105,31.9993494664963,-5.1355626695025,[],[],0
1237679322323157264,8.14951E+18,1.121193,20.49869,20.39739,20.07596,20.1097,20.23369,16.327,15.47,12.374,8.944,,,,,,,True,8,0.1013,0.42273,0.38899,0.265,0.32143,0.28769,0.1637,-0.03374,-0.15773,-0.12399,0.857,3.953,7.383,3.096,6.526,3.43,32.0682130467795,-5.1829624054754,[],[],0
1237679322323157534,8.149508E+18,1.533898,22.46584,22.34287,22.13105,21.76519,20.9145,16.931,16.798,13.07,8.888,,,,,,,True,8,0.12297,0.33479,0.70065,1.55134,0.21182,0.57768,1.42837,0.36586,1.21655,0.85069,0.133,3.861,8.043,3.728,7.91,4.182,32.0337792048844,-5.11476585771608,[],[],0
1237679322323157575,8.149511E+18,0.5558214,21.6184,20.87446,19.88418,19.4104,19.09039,15.476,15.114,12.099,9.245,-0.1176395032764159,-0.2184818286328745,-inf,-1.628622047206759,0.0254029583045971,-0.8986995195247475,True,8,0.74394,1.73422,2.208,2.52801,0.99028,1.46406,1.78407,0.47378,0.79379,0.32001,0.362,3.377,6.231,3.015,5.869,2.854,32.0545679061093,-5.22430216312164,[],[],0
1237679322323222814,8.14951E+18,1.867282,22.08723,22.07904,21.57881,21.06672,20.67039,17.272,15.806,12.619,9.145,,,,,,,True,8,0.00819,0.50842,1.02051,1.41684,0.50023,1.01232,1.40865,0.51209,0.90842,0.39633,1.466,4.653,8.127,3.187,6.661,3.474,32.1129947345083,-5.16143404527746,[],[],0
